url1,url2,similarity
https://www.fortinet.com/resources/cyberglossary/what-is-network-security,https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,0.889
https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,https://www.fortinet.com/solutions/enterprise-midsize-business/network-access/application-access,0.841
https://en.wikipedia.org/wiki/Remote_desktop_software,https://en.wikipedia.org/wiki/Search_engine_optimization,0.858
https://en.wikipedia.org/wiki/Remote_desktop_software,https://en.wikipedia.org/wiki/Content_marketing,0.916
https://en.wikipedia.org/wiki/Remote_desktop_software,https://simple.wikipedia.org/wiki/Machine_learning,0.915
https://en.wikipedia.org/wiki/Remote_desktop_software,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.911
https://digitalmarketinginstitute.com/blog/what-is-seo,https://digitalmarketinginstitute.com/blog/what-are-the-most-effective-digital-marketing-strategies,0.804
https://en.wikipedia.org/wiki/Search_engine_optimization,https://en.wikipedia.org/wiki/Content_marketing,0.887
https://en.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Machine_learning,0.847
https://en.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.846
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Content_marketing,0.833
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Digital_marketing,0.83
https://en.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Content_marketing,0.808
https://en.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Machine_learning,0.926
https://en.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.916
https://en.wikipedia.org/wiki/Content_marketing,https://en.wikipedia.org/wiki/Digital_marketing,0.863
https://en.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Digital_marketing,0.804
https://simple.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Digital_marketing,0.972
https://simple.wikipedia.org/wiki/Machine_learning,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.96
